business_id,name,city,state,stars,review_count,main_category,delivery,outdoor_seating,reservations,wifi,latitude,longitude
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,4.0,80,Bubble Tea,False,False,,u'free',39.9555052,-75.1555641
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,Ashland City,TN,2.0,6,Burgers,True,True,False,u'no',36.269593,-87.058943
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,Affton,MO,3.0,19,Pubs,False,True,False,u'free',38.5651648,-90.3210868
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,Nashville,TN,1.5,10,Ice Cream & Frozen Yogurt,True,True,False,u'no',36.2081024,-86.7681696
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,Tampa Bay,FL,4.0,10,Vietnamese,,None,False,,27.9552692,-82.4563199
il_Ro8jwPlHresjw9EGmBg,Denny's,Indianapolis,IN,2.5,28,American (Traditional),True,False,False,u'no',39.6371332838,-86.127217412
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,Largo,FL,4.5,100,Delis,True,False,False,u'no',27.9161159,-82.7604608
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,4.0,245,Sushi Bars,True,True,True,'free',39.953949,-75.1432262
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,4.5,205,Korean,None,None,False,u'no',39.943223,-75.162568
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,Edmonton,AB,4.0,40,Coffee & Tea,False,False,False,u'free',53.5460453,-113.4991693
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,Indianapolis,IN,4.0,20,Steakhouses,True,,,,39.9043203184,-86.0530799
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,Reno,NV,2.5,339,Italian,True,True,True,u'free',39.4761165,-119.7893392
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,Nashville,TN,4.0,6,Hot Dogs,False,False,False,u'no',36.2485696,-86.7199857
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,Nashville,TN,4.0,161,Japanese,None,False,True,u'free',36.1598858,-86.7731974
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,4.0,65,Cocktail Bars,True,False,False,u'free',39.9398245705,-75.1574465632
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,White House,TN,3.5,8,Pizza,,,,,36.4647467622,-86.6591868908
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Philadelphia,PA,3.0,41,Pizza,True,True,False,'no',40.0224662,-75.218314
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,Ardmore,PA,3.5,109,Pizza,True,False,False,u'no',40.0067071,-75.289671
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,3.5,65,Eatertainment,True,True,,,39.9625821,-75.1356571
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,Exton,PA,2.5,20,Burgers,False,True,,u'free',40.029962,-75.630607
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,Alton,IL,3.0,94,Specialty Food,False,True,True,'free',38.896563,-90.1862032987
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,AZ,3.0,23,Chinese,False,False,True,'no',32.1323047,-110.9999851
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,Nashville,TN,3.5,159,Coffee & Tea,True,True,False,'free',36.1483712,-86.7988947
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,Bala Cynwyd,PA,5.0,12,Italian,None,,,,40.0283575,-75.2380841
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,Edmonton,AB,5.0,20,Coffee & Tea,False,False,True,u'free',53.549633299999996,-113.5087799
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,Tampa,FL,4.0,23,American (New),False,True,True,'no',28.0462028173,-82.5050526736
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,Tampa,FL,4.0,35,Pizza,True,False,False,u'no',27.9605142,-82.506127
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,Harvey,LA,2.5,38,Soup,False,False,True,'no',29.8754822266,-90.04938
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,Indianapolis,IN,3.5,257,Sports Bars,False,True,False,'free',39.9062952,-86.0474634
L_TT0BFmFwORAMaA83K54A,Village Tap Room,Indianapolis,IN,2.5,23,Gastropubs,False,False,False,u'no',39.8699114,-86.1435773
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,West Chester,PA,3.0,114,Seafood,False,True,True,u'no',39.9615417,-75.6036042
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,Williamstown,NJ,2.5,29,American (Traditional),False,False,False,'free',39.6968014,-74.9998214
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,Glenolden,PA,4.5,25,American (Traditional),True,None,False,u'free',39.9036968861,-75.2949812448
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,Tucson,AZ,3.5,9,Italian,False,True,False,,32.221667,-110.925833
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,Wesley Chapel,FL,4.5,95,Burgers,True,False,True,u'free',28.1962523878,-82.3806153496
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,3.0,56,Automotive,True,False,False,u'free',39.954573,-75.1948936
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,Burlington,NJ,3.5,6,Japanese,False,False,True,,40.0416285,-74.8258209
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,Santa Barbara,CA,4.0,389,Salad,None,True,False,u'no',34.4144445,-119.6906718
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,New Orleans,LA,4.5,350,Pubs,True,True,True,u'free',29.9506467229,-90.0744274301
