review_id,user_id,business_id,stars_x,useful,funny,cool,text,date,name,city,state,stars_y,review_count,main_category,delivery,outdoor_seating,reservations,wifi,cleaned_text,sentiment
KU_O5udG6zpxOg-VcAEodg,mh_-eMZ6K5RLWhZyISBhwA,XQfwVwDr-v0ZS3_CbbE5Xw,3,0,0,0,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it's other locations in NJ and never had a bad experience. 

The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker.",2018-07-07 22:09:11,Turning Point of North Wales,North Wales,PA,3.0,169,Breakfast & Brunch,True,True,False,'free',decide eat aware going take hours beginning end tried multiple times want like locations nj never bad experience food good takes long time come waitstaff young usually pleasant many experiences spent way long waiting usually opt another diner restaurant weekends order done quicker,Positive
VJxlBnJmCDIy8DFG0kjSow,Iaee7y6zdSB3B-kRCo4z1w,XQfwVwDr-v0ZS3_CbbE5Xw,2,0,0,0,"This is the second time we tried turning point at this location. The first time we had a long wait for food after ordering, this time we had an even longer wait of over 40 minutes. I had the omelette skillet and there was hardly any egg in it, I felt like I was eating chopped onions and chopped tomatoes. My wife had a BLT and had a hard time finding the tomato and the avocado that was supposed be on it. Overall,The experience was stressful, mainly because of the long wait.",2017-05-13 17:06:55,Turning Point of North Wales,North Wales,PA,3.0,169,Breakfast & Brunch,True,True,False,'free',second time tried turning point location first time long wait food ordering time even longer wait minutes omelette skillet hardly egg felt like eating chopped onions chopped tomatoes wife blt hard time finding tomato avocado supposed overallthe experience stressful mainly long wait,Negative
S6pQZQocMB1WHMjTRbt77A,ejFxLGqQcWNLdNByJlIhnQ,XQfwVwDr-v0ZS3_CbbE5Xw,4,2,0,1,The place is cute and the staff was very friendly. Nice menu. Good for brunch. We had lunch and were seated right away. I really enjoyed the avocado  toast and side of bacon. Nice to have another brunch place nearby.,2017-08-08 00:58:18,Turning Point of North Wales,North Wales,PA,3.0,169,Breakfast & Brunch,True,True,False,'free',place cute staff friendly nice menu good brunch lunch seated right away really enjoyed avocado toast side bacon nice another brunch place nearby,Positive
WqgTKVqWVHDHjnjEsBvUgg,f7xa0p_1V9lx53iIGN5Sug,XQfwVwDr-v0ZS3_CbbE5Xw,3,0,0,0,"We came on a Saturday morning after waiting a few months after opening hoping that they would resolve the issues from a new restaurant opening. We were seated right away and the server brought water, coffee and took our orders right away. We waited over 30 mins for breakfast. I got the freebird and came out first before my husband's dish. While it tastes good, it was just potatoes and the spicy sausage gravy was mostly a sauce. There was barely any sausage. My husband got the ny deli omelette that had way too much cheese that it overpowered everything and very little pastrami. Lastly, we were ready to go and our server spent at least 10 mins chatting at another table so I couldn't get our check. I'm not sure if we will return.",2017-11-19 02:20:23,Turning Point of North Wales,North Wales,PA,3.0,169,Breakfast & Brunch,True,True,False,'free',came saturday morning waiting months opening hoping would resolve issues new restaurant opening seated right away server brought water coffee took orders right away waited mins breakfast got freebird came first husbands dish tastes good potatoes spicy sausage gravy mostly sauce barely sausage husband got ny deli omelette way much cheese overpowered everything little pastrami lastly ready go server spent least mins chatting another table couldnt get check im sure return,Positive
M0wzFFb7pefOPcxeRVbLag,dCooFVCk8M1nVaQqcfTL3Q,XQfwVwDr-v0ZS3_CbbE5Xw,2,0,0,0,"Mediocre at best. The decor is very nice, and I like what the restaurant is trying to do, with healthy food options but the service is poor. My mother and I waited over an hour to get our entrees and our server never apologized for the wait or came to check to see if we needed anything. I ordered the big easy benedict, which was supposed to have chorizo sausage and I literally had maybe 5 small slices of chorizo and the rest of my dish were the eggs and vegetables. Definitely not worth the money. I will give one star for the decor and one star for the manager who did stop by our table to take our drink and food orders when our waitress disappeared and did try to keep an eye on us from time to time. Their servers definitely need some training as well. Two of the people who brought food to our table did not know what dishes they were serving us and said the wrong names when they served our food/drinks. I don't see any reason to go back here.",2017-09-09 17:49:47,Turning Point of North Wales,North Wales,PA,3.0,169,Breakfast & Brunch,True,True,False,'free',mediocre best decor nice like restaurant trying healthy food options service poor mother waited hour get entrees server never apologized wait came check see needed anything ordered big easy benedict supposed chorizo sausage literally maybe small slices chorizo rest dish eggs vegetables definitely worth money give one star decor one star manager stop table take drink food orders waitress disappeared try keep eye us time time servers definitely need training well two people brought food table know dishes serving us said wrong names served fooddrinks dont see reason go back,Positive
fj7N9Lp6AvEEy6LHrDZzjw,gy7Ss1uTpCjbbGsghTvNsw,XQfwVwDr-v0ZS3_CbbE5Xw,2,0,0,0,When I was shown to my seat of was still wet so I had to use the napkin to finish the job. Place was full and service was poor. I ordered the Atlantic Tuna melt - not convinced that the tuna was fresh and it was cold. I ate half only - no one asked why - not the place if you are in a hurry,2017-07-29 17:12:27,Turning Point of North Wales,North Wales,PA,3.0,169,Breakfast & Brunch,True,True,False,'free',shown seat still wet use napkin finish job place full service poor ordered atlantic tuna melt convinced tuna fresh cold ate half one asked place hurry,Negative
uyS0ysaMd4mzw5rNYbgcjA,ql0XsKTjM7VeBAUqbphQDw,XQfwVwDr-v0ZS3_CbbE5Xw,3,0,0,0,"Food is fantastic, service is quite awful!  Call ahead if you can so you don't have to wait.  It took us 10 minutes to have our server acknowledge us once we waited 35 minutes for a table.  It took another 10-15 to get coffee, and were never given cream. We were given a pitcher of water, but had to ask for glasses so we could drink it.  They are understaffed and we visited on a Saturday morning when they were having a special event, so they should have known better! Food was amazing and my fiancé loved his coffee!  We definitely got better service at the Warrington location, so if you're thinking about trying this place out I would say go to the Warrington one.  They also have a better waiting area and full counter service area to get coffee while you are waiting!",2018-03-24 17:50:37,Turning Point of North Wales,North Wales,PA,3.0,169,Breakfast & Brunch,True,True,False,'free',food fantastic service quite awful call ahead dont wait took us minutes server acknowledge us waited minutes table took another get coffee never given cream given pitcher water ask glasses could drink understaffed visited saturday morning special event known better food amazing fianc loved coffee definitely got better service warrington location youre thinking trying place would say go warrington one also better waiting area full counter service area get coffee waiting,Positive
JrIxlS1TzJ-iCu79ul40cQ,eUta8W_HdHMXPzLBBZhL1A,04UD14gamNjLY0IDYVhHJg,1,1,2,1,I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!,2015-09-23 23:10:31,Dmitri's,Philadelphia,PA,4.0,273,Mediterranean,False,False,False,u'no',long term frequent customer establishment went order take apps told theyre busy really place maybe half full best dick reach ass yes go fuck im frequent customer great tipper glad kanella opened never going back dmitris,Positive
UWCX5uj76EZqQRJ_a9E_OA,6uwL28by5LNowEasl4GTWw,04UD14gamNjLY0IDYVhHJg,5,0,0,0,"Dmitri's is the best Greek food in town. If you're a seafood lover, go for the shrimp pil pil and the octopus. The grilled lamb and chicken entrees are the only non seafood items, but they're fantastic. Make sure to get the hummus - it comes with unlimited warm grilled pita and baguette.

Also - BYOB! And they don't take reservations. Kitchen closes at 10 so make sure to get there by 9:30.",2015-07-03 19:24:24,Dmitri's,Philadelphia,PA,4.0,273,Mediterranean,False,False,False,u'no',dmitris best greek food town youre seafood lover go shrimp pil pil octopus grilled lamb chicken entrees non seafood items theyre fantastic make sure get hummus comes unlimited warm grilled pita baguette also byob dont take reservations kitchen closes make sure get,Positive
zHkS8aDfAy-GoBe0ZtwlVg,w_ulWOjbIYa0seIc87wkdw,04UD14gamNjLY0IDYVhHJg,5,3,2,2,"If I could give this place 6 stars, I would.  Food is consistent, simple, and good.  People who are complaining about the cramped space and pissy waitresses need to relax- this is what a good BYO in a little homey neighborhood in a big city is like.  If you want room, go to Applebee's and request a booth.  Won't miss ya.

My husband and I always get the same thing- 1/2 and 1/2 (a combo plate with half hummus and half baba), sauteed mussels, smelts, shrimp scampi, and grilled octopus.  If we have room, the rice pudding is great.

FYI- plan in plenty of time to find parking, BYO, and cash only.",2010-01-11 00:38:17,Dmitri's,Philadelphia,PA,4.0,273,Mediterranean,False,False,False,u'no',could give place stars would food consistent simple good people complaining cramped space pissy waitresses need relax good byo little homey neighborhood big city like want room go applebees request booth wont miss ya husband always get thing combo plate half hummus half baba sauteed mussels smelts shrimp scampi grilled octopus room rice pudding great fyi plan plenty time find parking byo cash,Positive
